id,artist,song
1,Ketekalles,Nieva
2,Muerdo ft Perota Chingó,Semillas
3,Tuyos (Narcos Theme),Rodrigo Amarante
4,Los Zafiros,He Venido
5,Sandra Bernardo,Lola
6,Almendra,Hoy todo el hielo en la ciudad
7,Ana y Jaime,Mosaico - Ana Y Jaime / Discos Fuentes [Audio]
8,KeTeKalles y Pascuala Ilabaca y Fauna,Pa´mi
9,iLe,Déjame decirte (con Eddie Palmieri)
10,Elia y Elizabeth,En los días en que era demasiado joven
11,Lone Star,La casa del sol naciente
12,Talking Heads • Speaking in Tongues,This Must Be the Place (Naive Melody) [2005 Remaster]
13,David Bowie,Fame
14,Elton John • Goodbye Yellow Brick Road,Bennie And The Jets
15,MGMT,little dark age
16,Supertramp • Breakfast In America,Goodbye Stranger (2010 Remastered)
17,Sandra Bernardo,Fruta
18,Elton John,Rocket Man (I Think It's Going To Be A Long Long Time)
19,Monsieur Periné,Mi Libertad
20,Vicente García,Espuma y arrecife (con Los Gaiteros de San Jacinto)
21,Talking Heads • Speaking in Tongues,Burning Down the House (2005 Remaster)
22,ABBA,Lay All Your Love On Me
23,Fools Garden,Lemon Tree
24,Orchestral Manoeuvres In The Dark,Enola Gay (Official Music Video)
25,Billy Joel,Uptown Girl (Official Video)
26,Tears For Fears,Everybody Wants To Rule The World
27,Buena Vista Social Club,Tiene Sabor (con Omara Portuondo)
28,Monsieur Periné,Nuestra Canción (con Vicente García)
29,Modern Talking,Brother Louie (Video)
30,Matthew Wilder,Break My Stride
31,Adan Jodorowsky,Vivir con valor (con Natalia Lafourcade)
32,Onda Vaga,Tataralí
33,So Sorry,Feist
34,Pura Sangre,Jarabe de Palo
35,alt-J,Breezeblocks
36,Systema Solar,Comer De Verdad
37,Lil Supa,Fe de Errata
38,El Chojin,El Mejor Momento de Tu Día (con Roko)
39,Viento Roots,Música Hasta el Fin (con Choko Rap De Luz y Tony Hernández)
40,EL B,Siempre Me Quedara
41,Ile,caníbal
42,Alex Serra,Outter Space
43,Onda Vaga,Parque - Sequia de amor
44,Muerdo,Llegué hasta ti
45,Adan Jodorowsky,Mi Fe
46,Onda Vaga,La maga
47,Mi Sueño,Willie Colón
48,Rompecabezas,Aterciopelados
49,Rick James,Super Freak
50,Noisettes,Never Forget You
51,Ben E. King,Stand By Me
52,Vicente García,Te Soñé (En vivo)
53,Surfaces,Good day
54,Heartless bastards,only for you
55,Brian Bennett,Solstice
56,Churupaca,Aire
57,Palo & pan,Zoom zoom
58,La Otra,Aprenderé
59,Silvana Estrada,Sabré Olvidar
60,Macaco,Coincidir
61,Mr. Kilombo,Mírame
62,Árbol,El fantasma
63,La Vela Puerca,Va a Escampar
64,Creedence Clearwater Revival,Have You Ever Seen the Rain
65,Al2 el Aldeano,A Veces
66,Pedro Pastor y Suso Sudón -,Metamor / La puerta abierta (acústicos SdMA) Sesión de Micros Abiertos
67,MIKA,"Relax, Take It Easy Video"
68,Lorena Blume,Rapaz
69,Amy Winehouse,You Know I'm No Good
70,Echo & The Bunnymen,The Killing Moon
71,Aloe Blacc,I Need a Dollar
72,Wankelmut,"Asaf Avidan, The Mojos - One Day / Reckoning Song (Videoclip Day Version)"
73,Kylie Minogue,Can't Get You Out of My Head
74,Jamiroquai,Electric Mistress (Audio)
75,Metronomy,Night Owl
76,La Muchacha,Necesidades Perras
77,La Hungara y Niño de Elche,"C. Tangana, Niño de Elche, La Hungara - Tú Me Dejaste De Querer (con La Hungara y Niño de Elche)"
78,SFDK,Cara B (con Beret)
79,Apache,Relacion
80,Dua Lipa,We're Good
81,"Black Eyed Peas, Ozuna y J Rey Soul",Mamacita
82,Kris Kross Amsterdam y Conor Maynard,Early In The Morning
83,Miley Cyrus,Flowers
84,La Vela Puerca,Burbujas
85,Puerto Candelaria,Senderito De Amor
86,Café Tacvba,Como te extraño mi amor
87,Jamiroquai,Love Foolosophy
88,Bruno Mars,That's What I Like (con PARTYNEXTDOOR)
89,Paradoxus Luporum,Declaración de intereses
90,Sílvia Tomàs y Paradoxus Luporum,Templos/Temples
91,Paradoxus Luporum,Desde mi tumba
92,Granuja,Punto Rojo
93,J Balvin,Safari (con Pharrell Williams y Sky)
94,Canserbero y Apache,Pónmela en el Aire
95,SOFI TUKKER y Nina Simone,Sinnerman (Sofi Tukker Remix) [Animated Video]
96,Silvana Estrada,Tristeza (Video Oficial)
97,Matia Bazar,Solo tu
98,Ice Cube,It Was a Good Day
99,Colectivo Panamera,Un río que se va [Acústico] (con Georgina)
100,The War On Drugs,Thinking Of A Place
101,Daft Punk - Beyond (Nicolas Jaar & Dave Harrington Remix),Take It Eas
102,Gotan Projec,Gotan Project - La Revancha Del Tango (Full Album)
103,Pillowtalk,Sunny
104,Jungle,Happy Man
105,The Weeknd,Secrets
106,The Bangles,Walk Like an Egyptian
107,David Bowie,Heroes
108,La Lira Libertaria,Niñx
109,Kungs y Cookin' on 3 Burners,This Girl
110,Conjunto Miramar,Carruseles
111,Fleetwood Mac,Dreams
112,Tears For Fears,Everybody Wants To Rule The World
113,Jarabe de Palo,Agua
114,Shakira,Hay Amores
115,Macaco,Coincidir
116,Pet Shop Boy,West End Girls
117,Blondie,Heart Of Glass
118,Arctic Monkeys,Leave Before the Lights Come On
119,Bee Gees,More Than A Woman
120,David Bowie,The man who sold the world
121,Elton John,Honky Cat
122,The Stranglers,Golden Brown
123,The Stranglers,Skin Deep
124,The Doors,Love Her Madly
125,Ten Years After Cricklewood Green,Love Like Man
126,Rels B,A mí
127,Eichem,Miss Independent
128,Dr Dre.,What's the difference (ft. Eminem and Xzibit)
129,Cypress Hill,Tequila Sunrise (ft. Barron Ricks)
130,Natalia Lafourcade,Nunca Es Suficiente
131,Phil Collins,Another day in paradise
132,The Scorpions,Wind of Change
133,Chris Isaak,Wicked Game
134,Rosana,Pa ti no estoy
135,Harry Styles ,As It Was
136,alt-J (∆),Breezeblocks
137,Billy Joel,Piano Man
138,El niño de la hipoteca & El Kanka,Alquitrán y Carmín 2.0
139,Bon Jovi,Livin' on a Prayer
140,Linkin Park,In the end
141,The Smiths,The Charming Man
142,Pet Shop Boys,West End Girls
143,A Flock of Seagulls,I ran (so far away)
144,Echo and the bunnymen,The killing Moon
145,The Black Keys,A lonely boy
146,2Pac,All Eyez on Me (ft. Big Syke)
147,Dr. Dre,Nuthin But a G Thang
148,The notorious BIG,Big Poppa
149,The Beatnuts,Se Acabo
150,Madness,Our House
151,Café Quijano,La Lola
152,Célia Cruz ,Dile que por mi no tema
153,Canserbero y Liana Malva,Te quiero
154,The Smiths,This Night Has Opened My Eyes
155,Skampida,La Manifestación
156,Muerdo,Por tu corriente (con Los Caligaris)
157,Chimó Psicodélico,Conmoción Interior
158,La Toma,Más Gente Como Tú
159,Outkast,"So Fresh, So Clean"
160,Cypress Hill,Lowrider
161,Bomba Estéreo,Bomba
162,White Town,Your Woman
163,Selena Gomez & Rema,Calm Down
164,The Weeknd,Can't Feel My Face Official Video
165,Rels B,A mí
166,BornJamericans,Wherever We Go
167,Ini Kamoze,World A Music
168,Noiseferatu,Malpensante
169,L'Xuasma,La Pesca
170,Luis7Lunes Ft. No Rules Clan,Terreno Cercado (Prod. AvenRec)
171,Noiseferatu,Sincretismo
172,Kungs,Never Going Home
173,DJ Quik,Dollaz + Sense
174,Jamiroquai,Alright
175,Rick James,Give it to me baby
176,"Earth, Wind & Fire",Let's Groove
177,Charlie Feathers,Can't Hardly Stand It
178,Mike Posner,Cooler Than Me (feat. Big Sean)
179,The Luniz,I Got 5 On It
180,The Notorious B.I.G,Hypnotize
181,Ice Cube,Check Yo Self (Remix)
182,2Pac,How Do U Want It (feat. K-Ci & JoJo)
183,Tuccillo,Lovery (Slow Cuban Vibe) (feat. Kiko Navarro & Amor)
184,X,Los Angeles
185,Anushka,World in a Room
186,Odd Ras,Chronixx
187,Bernard Wright,Haboglabotribin'
188,Mim Suleiman,Mingi
189,The Black Madonna,We Can Never Be Apart
190,Ice Cube,You Know How We Do It
191,Snoop Dogg,Gin and Juice
